project,subject,type,status,priority,exp_start_date,exp_end_date,description,expected_time,custom_change_control,custom_approval_owner,custom_approval_teams
Release Management LIMS,Change Control Part 1,Planning,Completed,High,2025-07-28,2025-08-08,"Routed to Todd for review. Once review is complete, forward for business review. After that is complete, ask Todd to route for approval in MediaLab. When routing for approval, accept the track changes and attach clean copy in email.",80.0,Summer Release - 2025-0023,Princy Esakkimuthu,"Business,IT,QA,VAL"
Release Management LIMS,RS - Requirements Specification,Planning,Completed,High,2025-06-30,2025-08-08,"Pauline and Guru - Once review is complete, please ask Todd to route it for approval in MediaLab. If any duplicate requirements remain, kindly remove them.",240.0,Summer Release - 2025-0023,Pauline Stephen,"Business,IT,QA,VAL"
Release Management LIMS,Schedule DEMO with users,Planning,Completed,Medium,2025-08-07,2025-08-08,,16.0,Summer Release - 2025-0023,Israel Thavasikani,
Release Management LIMS,Separate doc for reports - RS and DCS,Planning,Working,High,2025-07-28,2025-08-08,"Guru - Please share the document with the development team and request them to update the DCS section with the report requirements. Once the doc is updated, Pauline needs to route the doc for Todd's review. Once the review is complete, please request Todd to route it for approval in ML.",80.0,"Emergency Client Order ID Change - 2025-0028, Emergency Release Abeta Ratio - 2025-0027",Pauline Stephen,"Business,IT,QA,VAL"
Release Management LIMS,DCS - LIMS (CLIA and CRS and HL7),Development,Completed,High,2025-07-28,2025-08-08,"Please update both the DCS. Route it for Rickson and Chris R's review with track changes on. Once the review is complete, please request Todd to route it for approval in MediaLab. Pauline is responsible for requesting Todd to route the document in MediaLab. For review, please upload the doc in teams and share the sharepoint location.",80.0,Summer Release - 2025-0023,Israel Thavasikani,"IT,VAL"
Release Management LIMS,Unit Testing,Development,Completed,High,2025-07-31,2025-08-11,"Please update unit testing doc. Route it for Rickson and Chris R's review. Once the review is complete, please request Todd to route it for approval in MediaLab. For review, please upload the doc in teams and share the sharepoint location. When routing it for approval, please accept the track changes and attach clean copy in the email.",64.0,Summer Release - 2025-0023,Israel Thavasikani,"IT,VAL"
Release Management LIMS,Code Review,Development,Completed,High,2025-07-31,2025-08-11,"Please update code review doc. Route it for Rickson and Chris R's review. Once the review is complete, please request Todd to route it for approval in MediaLab. For review, please upload the doc in teams and share the sharepoint location. When routing it for approval, please accept the track changes and attach clean copy in the email.",64.0,Summer Release - 2025-0023,Israel Thavasikani,"IT,VAL"
Release Management LIMS,Design Review Report,Development,Completed,High,2025-07-31,2025-08-11,"Please update design review report. Route it for Rickson and Chris R's review. Once the review is complete, please request Todd to route it for approval in MediaLab. For review, upload the doc in teams and share the sharepoint location. When routing for approval, accept the track changes and attach clean copy in email.",64.0,Summer Release - 2025-0023,Pauline Stephen,"IT,VAL"
Release Management LIMS,Testing in DEV2,Development,Completed,High,2025-07-31,2025-08-11,,64.0,Summer Release - 2025-0023,Israel Thavasikani,
Release Management LIMS,Create inflight samples in QA,Development,Completed,Medium,2025-08-08,2025-08-11,,16.0,,Monica Onyx,
